"num","classifier","noun","sent_num","cl_token_num","noun_token_num","file_name","cl_freq_for_noun","cl_prop_for_noun"
"一","个","渠道",1670,55,58,"010801.csv",1503,0.753
"一","条","出路",1682,17,18,"010801.csv",296,0.791
"两","个","景点",1685,13,14,"010801.csv",996,0.821
"一","个","地方",1689,12,19,"010801.csv",6837,0.876
"一","个","小桥",1690,15,19,"010801.csv",7,0.135
"三","个","汉字",1690,40,41,"010801.csv",248,0.939
"一","个","脑袋",1698,57,58,"010801.csv",151,0.839
"１１","个","品种",1714,13,15,"010801.csv",3715,0.895
"一","个","地方",1718,18,25,"010801.csv",6837,0.876
"几","个","台面",1723,34,36,"010801.csv",19,0.905
"几","只","灯",1723,20,24,"010801.csv",104,0.127
"一","场","迷雾",1729,24,27,"010801.csv",13,0.137
"７０","个","城市",1762,11,14,"010801.csv",24790,0.866
"一","个","办法",1783,17,19,"010801.csv",2147,0.925
"两","个","部门",1800,53,55,"010801.csv",7038,0.853
"一","个","局面",1813,16,19,"010801.csv",619,0.538
"一","个","博弈",1816,34,35,"010801.csv",60,0.209
"一","部","电影",1837,31,35,"010801.csv",6954,0.89
"一","个","父亲",1840,14,18,"010801.csv",569,0.562
"一","个","孩子",1847,25,28,"010801.csv",15623,0.864
"两","只","鞋",1849,39,40,"010801.csv",114,0.699
"一","栋","危房",1851,22,27,"010801.csv",24,0.202
"一","个","名字",1855,31,34,"010801.csv",2455,0.925
"一","个","玩伴",1860,32,33,"010801.csv",31,0.838
"一","段","肺腑",1864,28,30,"010801.csv",12,0.174
"一","项","作业",1865,13,15,"010801.csv",56,0.273
"一","道","光束",1869,2,3,"010801.csv",13,0.565
"一","个","人物",1871,42,46,"010801.csv",2771,0.633
"一","个","女孩",1874,21,26,"010801.csv",5061,0.647
"一","把","利器",1880,9,10,"010801.csv",68,0.479
"第一","位","球员",1880,15,20,"010801.csv",3351,0.137
"一","位","年",1892,3,4,"010801.csv",82,0.075
"一","位","年",1921,3,4,"010801.csv",82,0.075
"一","场","比赛",1924,27,30,"010801.csv",68993,0.883
"一","家","夜总会",1970,13,14,"010801.csv",260,0.897
"一","家","夜总会",1971,6,7,"010801.csv",260,0.897
"第一","项","措施",1972,9,10,"010801.csv",4294,0.755
"两","个","队",1979,20,21,"010801.csv",635,0.289
"一","个","结果",1981,38,39,"010801.csv",2518,0.619
"一","场","比赛",1984,13,14,"010801.csv",68993,0.883
"一","名","专家",1990,25,28,"010801.csv",3240,0.31
"一","场","规模",1991,28,30,"010801.csv",232,0.166
"９","个","小组",1992,6,8,"010801.csv",5261,0.944
"两","个","汉字",2031,26,28,"010801.csv",248,0.939
"数","名","球员",2041,6,7,"010801.csv",16827,0.689
"３","名","外援",2044,7,13,"010801.csv",3749,0.839
"一","个","老将",2050,10,16,"010801.csv",84,0.061
"第二","个","对手",2058,15,16,"010801.csv",4646,0.814
"一","位","领队",2077,9,11,"010801.csv",56,0.329
"一","个","成员",2078,8,9,"010801.csv",1117,0.178
"几","个","助攻",2097,4,8,"010801.csv",762,0.934
"７","个","美女",2113,5,7,"010801.csv",719,0.28
"一","件","事儿",2120,27,33,"010801.csv",217,0.775
"７","位","娇妻",2121,20,22,"010801.csv",17,0.81
"两","名","飞行员",2123,18,19,"010801.csv",2093,0.762
"２０","位","女星",2154,12,13,"010801.csv",714,0.716
"４","个","多",2173,29,30,"010801.csv",1616,0.571
"一","名","运动员",2173,7,9,"010801.csv",4990,0.701
"一","名","右腿",2174,28,43,"010801.csv",10,0.37
"四","局","比分",2190,22,23,"010801.csv",493,0.125
"十","名","选手",2215,10,11,"010801.csv",7644,0.523
"一","个","选择",2219,39,40,"010801.csv",3221,0.927
"一","名","高中锋",2219,26,27,"010801.csv",80,0.87
"两","座","核电站",2220,8,11,"010801.csv",249,0.673
"三","个","项目",2220,48,50,"010801.csv",27366,0.895
"一","份","复古",2254,5,6,"010801.csv",47,0.783
"一","片","色彩",2257,17,29,"010801.csv",39,0.176
"一","颗","心",2261,9,14,"010801.csv",1716,0.742
"一","位","形象",2264,34,42,"010801.csv",113,0.052
"一","个","基因",2267,30,32,"010801.csv",298,0.839
"一","个","小组",2267,4,6,"010801.csv",5261,0.944
"一","场","晚会",2275,27,30,"010801.csv",355,0.347
"一","个","形象",2278,7,11,"010801.csv",1932,0.893
"一","个","地方",2309,4,7,"010801.csv",6837,0.876
"一","场","肺炎",2321,7,9,"010801.csv",35,0.875
"两","个","进球",2339,20,21,"010801.csv",10851,0.598
"一","个","奥运",2345,38,39,"010801.csv",1692,0.391
"一","段","时间",2351,6,7,"010801.csv",29750,0.934
"一","个","信封",2356,8,10,"010801.csv",261,0.919
"一","段","时间",2362,20,21,"010801.csv",29750,0.934
"１４","条","公路",2370,12,14,"010801.csv",2582,0.861
